№,проект,текст,id
55,Столичные поляны,"Жилой квартал «Столичные поляны» расположен в Москве, в районе Южное Бутово. В десяти минутах — метро «Улица Скобелевская». Рядом Бутовский парк и торговые центры.",209321
56,Кузьминский лес,"Жилой квартал «Кузьминский лес» находится в Московской области, в городе Котельники. Отсюда за 20 минут можно дойти до метро «Котельники», а за 5 минут — доехать на машине до МКАД.",1687365
57,Люберецкий,"Жилой квартал «Люберецкий» расположен в Подмосковье, на границе микрорайона Некрасовка и Люберецкого района. В 4 километрах находится МКАД. До станции «Лухмановская» 5 минут пешком, на метро отсюда и до центра Москвы — всего 35 минут.",69233
58,Просторная 7,"Жилой комплекс «Просторная 7» строится рядом с парком «Сокольники» и набережной реки Яуза. За 15 минут отсюда можно дойти до станции метро «Преображенская площадь» или доехать на машине до МКАД, а за 10 минут — до ТТК.",2106945
59,Оранж парк,"Жилой квартал «Оранж парк» расположен в небольшом подмосковном городе Котельники. Отсюда до метро — всего 3 минуты пешком, а до Садового кольца можно доехать на машине за 35 минут.",181307
60,Путилково,"Жилой район «Путилково» находится на Красногорском направлении, в 700 метрах от МКАД, в экологически благоприятном месте рядом с Алёшкинским лесом.",83515
61,Митино парк,"«Митино парк» находится в Красногорском районе Московской области. Отсюда за 30 минут можно доехать на машине до центра Москвы, а за 10 — дойти до метро «Митино». В 20 минут на транспорте находится станция МЦД-2 «Волоколамское», откуда можно быстро добраться до центра города.",482577
62,Томилинский бульвар,"Жилой квартал «Томилинский бульвар» возводится рядом с Кузьминским парком в Котельниках. В 20 минутах пешком метро «Котельники», а на автомобиле 4 минуты до Новорязанского шоссе и 6 минут — до МКАД.",3203083
1,Аэронавт,"«Аэронавт» расположен во Фрунзенском районе, в 15 минутах пешком от метро «Обводный канал». У жилого квартала будет удобный выезд на Лиговский проспект. До делового и исторического центра города — всего 10 минут на автомобиле.",3064668
2,Шкиперский 19,"Жилой квартал возводится на Васильевском острове, в пешей доступности от станции метро «Приморская» и с удобным выездом на ЗСД. Здесь будут квартиры с высокими потолками, окнами в пол и великолепным видом на Финский залив.",3032075
3,Лермонтовский 54,"«Лермонтовский 54» находится в центре Санкт-Петербурга на набережной Обводного канала, в 5 минутах пешком от метро «Балтийская». Здесь будут квартиры с окнами в пол, высокими потолками и террасами.",2872185
4,Витебский парк,"«Витебский парк» расположен во Фрунзенском районе, в 10 минутах на машине до центра Санкт-Петербурга. Рядом метро «Обводный канал», до которого можно дойти пешком.",3003538
5,Янинский лес,"«Янинский лес» — масштабный жилой район в окружении леса с собственными детскими садами, школой, поликлиникой и ледовой ареной. Всего в 4 минутах находится КАД, в 3 минутах пешком — автобусная остановка.",2655659
6,Заречный парк,"Жилой квартал «Заречный парк» расположен в районе Новое Девяткино Ленинградской области. В 7 минутах езды на авто — станция метро «Девяткино», до КАД на машине — 10 минут.",2533764
7,Таллинский парк,"«Таллинский парк» — проект в Ленинградской области, в районе Новоселье. До станции метро «Проспект Ветеранов» — 15 минут на машине, а до КАД можно доехать всего за 4 минуты.",2611881
8,Кантемировская 11,"Жилой район «Кантемировская 11» расположен в Выборгском районе Санкт-Петербурга, в 5 минутах пешком от станции метро «Лесная».",2369983
9,Кудровский парк,"«Кудровский парк» расположен в районе Кудрово, в 5 минутах транспортом от станции метро «Улица Дыбенко».",2605214
1,Утёс,"«Утёс» возводится в Екатеринбурге в самом центре микрорайона Уктус, в 25 минутах на автомобиле от центра города. В проекте будет детский сад и собственная набережная на берегу Исети.",2977243
2,Исеть парк,"«Исеть парк» расположен в Октябрьском районе Екатеринбурга на берегу реки Исеть, напротив парка имени Маяковского. До метро «Ботаническая» — 15 минут пешком.",2487290
3,Космонавтов 11,"Жилой квартал «Космонавтов 11» расположен в Железнодорожном районе Екатеринбурга, недалеко от станций метро «Уральская» и «Машиностроителей».",1552801
1,Озёрный парк,"Жилой квартал «Озёрный парк» расположен в районе Дом Обороны, в 10 минутах езды от центра Тюмени. Это зелёный и спокойный район, который активно развивается и отлично подходит для комфортной жизни. Рядом находится большой Затюменский парк — здесь приятно заниматься спортом и просто отдыхать.",1724205
1,НОРД,«Норд» возводится в Северном жилом массиве Ростова-на-Дону на улице Орбитальная. Дорога до центра города на машине занимает 25 минут.,307595
1,Черноморский-2,"«Черноморский 2» расположен в южной части Новороссийска, на берегу Цемесской бухты. Чистый воздух, живописные виды и дворы-парки сделают вашу жизнь здесь по-настоящему комфортной.",736382
1,Босфорский парк,Жилой квартал во Владивостоке с ландшафтными дворами-парками и видом на залив.,2690473
1,Уюн парк,"«Уюн парк» расположен в северной части Южно-Сахалинска. Это масштабный проект с магазинами и кафе на первых этажах, местами для прогулок, отдыха и спорта.",2689298
1,Савин парк,"В жилом квартале «Савин парк» будет всё для комфортной жизни: собственные детские сады и школа, паркинги. До центра Нижнего Новгорода — 20 минут на машине, а до Кстово — 18 минут.",2801246
1,Зея парк,«Зея парк» — новый квартал со всем необходимым для комфортной жизни. До центра Благовещенска — 15 минут.,3171181
1,Волга парк,"«Волга парк» расположен в 15 минутах езды от центра Ярославля, в уютном Фрунзенском районе на правом берегу Волги. Проект включает 18 жилых корпусов, а ещё мы планируем два детских сада и школу.",538910
1,Лесной,"Жилой квартал «Лесной» расположен в Правобережном районе города, в 10 минутах на машине от центра города.",566135
1,Парковый квартал,"Жилой квартал возводится в Обнинске на пересечении улиц Курчатова и Королёва, неподалёку от Киевского шоссе.",913134
2,Московский квартал,"«Московский квартал» возводится в северной части Обнинска, рядом с проспектом Маркса и проектом «Борисоглебский».",570653
1,Сиберово,"«Сиберово» — жилой квартал на улице Журналистов с парками в каждом дворе, школой и двумя детскими садами. До центра Казани — 15 минут пути на машине.",3168527
2,Нокса парк,"Жилой квартал «Нокса парк» находится в Советском районе, где много лесов и парков. До центра Казани всего 15 минут на машине. В 2024 году совсем рядом появится благоустроенная набережная реки Ноксы.",2964718
